contact_id	cnt_ age_est_min	cnt_ age_est_max	cnt_gender	cnt_home	cnt_work	cnt_school	cnt_transport	cnt_leisure	cnt_otherplace	frequency_multi	phys_contact	duration_multi
18	38		M	1	0	0	1	1	0	1	1	5
18	40	45	F	0	0	0	0	0	1	2	2	2
18	34		F	1	0	0	1	1	0	1	1	5
18	34		F	0	0	0	0	1	0	2	1	4
18	33		M	0	0	0	0	1	0	2	1	4
19	3		F	0	0	0	0	1	0	1	1	2
19	55		M	0	0	0	0	1	0	1	1	3
19	62		F	1	0	0	1	1	0	1	1	4
19	3		M	1	0	0	0	1	0	3	1	5
19	39		M	1	0	0	0	1	0	1	1	5
19	40	45	M	1	0	0	0	0	0	3	1	1
19	31		M	1	0	0	0	1	0	3	1	5
19	62		M	1	0	0	0	0	0	1	1	4
19	10		M	1	0	0	1	1	0	1	1	5
19	4		M	0	0	0	0	1	0	1	1	2
19	37		F	1	0	0	0	1	0	2	1	4
19	35		F	1	0	0	1	1	0	1	1	5
19	50		F	0	0	0	0	0	1	4	1	1
19	4		M	1	0	0	0	1	0	3	1	5
19	55		F	0	0	0	0	1	0	1	1	3
19	4		F	0	0	0	0	1	0	1	1	2
19	34		F	1	0	0	0	1	0	3	1	5
20	45	50	F	0	0	1	0	0	0	1	1	5
20	3	4	M	0	0	1	0	0	0	1	1	5
20	3	4	M	0	0	1	0	0	0	1	1	5
20	8		M	0	0	0	0	1	0	1	1	3
20	3	4	M	0	0	1	0	0	0	1	1	5
20	3	4	F	0	0	1	0	0	0	1	1	5
20	30	35	F	0	0	1	0	0	0	1	1	5
20	10		M	1	0	0	0	1	0	1	1	5
20	45		F	0	0	1	0	0	0	1	2	2
20	40		F	1	0	0	1	1	0	1	1	5
20	45	50	F	0	0	1	0	0	0	1	1	5
20	30		F	0	0	1	0	0	0	1	1	5
20	3	4	F	0	0	1	0	0	0	1	1	5
20	77		F	1	0	0	0	1	0	1	1	4
20	77		F	1	0	0	0	1	0	1	1	3
20	3	4	F	0	0	1	0	0	0	1	1	5
20	30	40	M	0	0	1	0	0	0	1	1	2
20	3	4	F	0	0	1	0	0	0	1	1	5
20	45	50	F	0	0	1	0	0	0	1	1	5
20	3	4	F	0	0	1	0	0	0	1	1	5
20	3	4	F	0	0	1	0	0	0	1	1	5
